ensembl_gene_id	symbol
ENSG00000141510	TP53
ENSG00000146648	EGFR
ENSG00000136997	MYC
ENSG00000133703	KRAS
ENSG00000171862	PTEN
ENSG00000105383	MDM2
ENSG00000147889	CDKN2A
ENSG00000139687	RB1
ENSG00000105810	CDK4
ENSG00000110092	CCND1
ENSG00000157764	BRAF
ENSG00000213281	NRAS
ENSG00000121879	PIK3CA
ENSG00000142208	AKT1
ENSG00000198793	MTOR
ENSG00000012048	TP73
ENSG00000149554	CHEK2
ENSG00000197601	PARP1
ENSG00000168036	MAPK1
ENSG00000102882	MAPK3
ENSG00000100030	GSK3B
ENSG00000115415	FN1
ENSG00000112759	VIM
ENSG00000111640	ACTB
ENSG00000139618	BRCA1
ENSG00000183765	BRCA2
ENSG00000164362	ATM
ENSG00000091831	E2F1
ENSG00000104738	SKIL
ENSG00000168646	HDAC1
ENSG00000196576	MYBL2
ENSG00000117335	CDK2
ENSG00000112576	PCNA
ENSG00000111615	UNG
ENSG00000101868	POLA1
ENSG00000102054	RFC1
ENSG00000163491	SLC2A1
ENSG00000111642	GAPDH
ENSG00000198886	TUBA1A
ENSG00000198211	TUBB4B
ENSG00000167553	HSP90AA1
